id,name,,url,destination ,category ,description
topic-1,Kangaroo Island|Active,Kangaroo Island Active,/kangarooisland/active,Kangaroo Island,Active,
topic-2,Bali|Active,Bali Active,/bali/active,Bali,Active,
topic-3,Hoi An|Active,Hoi An Active,/hoi-an/active,Hoi An,Active,
topic-4,Cusco|Active,Cusco Active,/cusco/active,Cusco,Active,
topic-5,Lima|Active,Lima Active,/lima/active,Lima,Active,
topic-6,Australia|Active,Australia Active,/australia/active,Australia,Active,
topic-7,Indonesia|Active,Indonesia Active,/indonesia/active,Indonesia,Active,
topic-8,Vietnam|Active,Vietnam Active,/vietnam/active,Vietnam,Active,
topic-9,Peru|Active,Peru Active,/peru/active,Peru,Active,
topic-10,Oceania |Active,Oceania  Active,/oceania /active,Oceania ,Active,
topic-11,Asia|Active,Asia Active,/asia/active,Asia,Active,
topic-12,South America|Active,South America Active,/south-america/active,South America,Active,
topic-13,Athens|Art & Culture & History,Athens Art & Culture & History,/athens/art-culture-history,Athens,Art & Culture & History,
topic-14,Barcelona|Art & Culture & History,Barcelona Art & Culture & History,/barcelona/art-culture-history,Barcelona,Art & Culture & History,
topic-15,Bucharest|Art & Culture & History,Bucharest Art & Culture & History,/bucharest/art-culture-history,Bucharest,Art & Culture & History,
topic-16,Dubrovnik|Art & Culture & History,Dubrovnik Art & Culture & History,/dubrovnik/art-culture-history,Dubrovnik,Art & Culture & History,
topic-17,Paris|Art & Culture & History,Paris Art & Culture & History,/paris/art-culture-history,Paris,Art & Culture & History,
topic-18,Venice|Art & Culture & History,Venice Art & Culture & History,/venice/art-culture-history,Venice,Art & Culture & History,
topic-19,Delhi|Art & Culture & History,Delhi Art & Culture & History,/delhi/art-culture-history,Delhi,Art & Culture & History,
topic-20,Ho Chi Minh City|Art & Culture & History,Ho Chi Minh City Art & Culture & History,/ho-chi-minh-city/art-culture-history,Ho Chi Minh City,Art & Culture & History,
topic-21,Hoi An|Art & Culture & History,Hoi An Art & Culture & History,/hoi-an/art-culture-history,Hoi An,Art & Culture & History,
topic-22,Kathmandu|Art & Culture & History,Kathmandu Art & Culture & History,/kathmandu/art-culture-history,Kathmandu,Art & Culture & History,
topic-23,Boston|Art & Culture & History,Boston Art & Culture & History,/boston/art-culture-history,Boston,Art & Culture & History,
topic-24,Denver|Art & Culture & History,Denver Art & Culture & History,/denver/art-culture-history,Denver,Art & Culture & History,
topic-25,Havana|Art & Culture & History,Havana Art & Culture & History,/havana/art-culture-history,Havana,Art & Culture & History,
