id,code,name,,seq,9326A53C-059F-488D-972A-E3C990820EFC
0087AF84-CB5B-4138-8E07-A389B56C15E8,PRIGREF,Art & Culture & History,2,1,Art & Culture & History
0087AF84-CB5B-4138-8E07-A389B56C15E8,PRIGREF,Private,2,2,Private
0307525E-CF7F-4BF0-A7DA-F8E26346C5CD,AMBUA,Food & Drink,1,1,Food & Drink
0399231C-E9FF-4553-813B-C050AECC2264,USCTOTAL,City Highlights,2,1,City Highlights
0399231C-E9FF-4553-813B-C050AECC2264,USCTOTAL,Food & Drink,2,2,Food & Drink
08399BDF-7FB2-4012-A20C-B1BC940E1E6C,KEUA,City Highlights,1,1,City Highlights
0ED65C10-24CD-4EEB-8540-029C78218E02,CUBA3,Art & Culture & History,1,1,Art & Culture & History
0F3EA9B5-98F9-4B98-8273-8072B89A0097,ITUN,Food & Drink,1,1,Food & Drink
116C8879-C035-411D-B30A-1F2E24C2FB7E,ROBUB,Art & Culture & History,2,1,Art & Culture & History
116C8879-C035-411D-B30A-1F2E24C2FB7E,ROBUB,Food & Drink,2,2,Food & Drink
13848235-7A90-47F2-BD85-26A5BD274E72,ATVUA,Food & Drink,1,1,Food & Drink
13E0346F-6B08-4BE1-B1FF-3A0F304A60D5,CRUA,Art & Culture & History,2,1,Art & Culture & History
13E0346F-6B08-4BE1-B1FF-3A0F304A60D5,CRUA,City Highlights,2,2,City Highlights
1769DBBA-3059-40E3-A8F2-DDBF4CFC80C3,UIOA,Art & Culture & History,1,1,Art & Culture & History
179E2950-6F59-4DAF-9FA1-F8AE600DF4C8,MAUQ,Art & Culture & History,2,1,Art & Culture & History
179E2950-6F59-4DAF-9FA1-F8AE600DF4C8,MAUQ,Food & Drink,2,2,Food & Drink
1C83CD90-A449-4AD5-8113-2395F82A04E5,AUMB,Food & Drink,1,1,Food & Drink
1CC38B04-10C6-44BB-8158-51C319264068,MCAUB,Art & Culture & History,1,1,Art & Culture & History
1DA44E75-3BEE-4213-ACD9-DDC0BD14468E,CUBA2,Art & Culture & History,1,1,Art & Culture & History
1FEDA572-3128-4DCD-A784-9610DC4F10EF,TUD,Food & Drink,1,1,Food & Drink
279B9539-E88D-4B84-BB49-5B92C9C27065,TUB,City Highlights,1,1,City Highlights
27D8596A-B0F9-401D-B023-8D1B7B6C31EB,JPUQ,Food & Drink,1,1,Food & Drink
307E82C5-1662-4836-8F68-7CB1F7EB8620,USNOB,Food & Drink,1,1,Food & Drink
